leaf_id,healthy_area_mean,healthy_perimeter_mean,healthy_compactness_mean,healthy_convexity_mean,mean_embedding_distance
2-1-14-2-1,1338721.0,17083.862143611907,0.004630632621480781,0.7704621930053358,0.19189522
2-1-14-2-2,1338721.0,17083.862143611907,0.004630632621480781,0.7704621930053358,0.1724021
2-1-14-2-3,1405180.4,17092.09158115387,0.004829242975163601,0.7884356141252468,0.20716889
2-1-14-2-4,1405180.4,17092.09158115387,0.0048292429751636,0.7884356141252468,0.20967801
2-1-14-3-1,1353785.6,16466.802608633043,0.005012147175969881,0.7867478992709233,0.23787637
2-1-14-3-2,1405180.4,17092.09158115387,0.0048292429751636,0.7884356141252468,0.2606794
2-1-14-3-4,1405180.4,17092.09158115387,0.0048292429751636,0.7884356141252468,0.24046478
2-1-16-1-1,1425462.2,18653.92198791504,0.0042404216130103,0.7722188332156825,0.15483442
2-1-16-1-2,1344164.5,17957.77104189396,0.00424495144381178,0.7603309906771244,0.16852143
2-1-16-1-3,1447294.5,19133.962432312965,0.004085983656736521,0.769398891238429,0.1580815
2-1-16-1-4,1447294.5,19133.962432312965,0.004085983656736521,0.769398891238429,0.1581969
2-1-16-1-5,1344164.5,17957.77104189396,0.00424495144381178,0.7603309906771244,0.16041006
2-1-16-2-1,1319132.3,18847.37319686413,0.0038954110352865,0.7486883380761526,0.21833143
2-1-16-2-2,1420931.9,17619.07130482197,0.00461842826606808,0.7793538289850772,0.1862466
2-1-16-2-3,1390115.8,17709.151116132736,0.0044477284206745,0.7721499078596594,0.21924753
2-1-16-2-4,1425462.2,18653.92198791504,0.0042404216130103,0.7722188332156825,0.18667507
2-1-16-3-1,1362568.8,17296.1354745388,0.00459345778640528,0.7534078327437945,0.22592032
2-1-16-3-3,1362568.8,17296.1354745388,0.00459345778640528,0.7534078327437945,0.2209549
2-1-16-3-4,1311174.0,16670.846502017976,0.0047763619872115606,0.751720117889471,0.2305223
2-2-10-1-1,872182.7,8414.956359219552,0.012689663255092859,0.7930166996211032,0.18734422
2-2-10-2-1,814460.6,8230.7522503376,0.01230001529163392,0.7508782330783383,0.23706606
2-2-10-3-1,750288.2,7036.073207187653,0.01661778149880212,0.8293928507034147,0.32811618
2-2-10-4-1,823268.2,8286.762839603423,0.01218779143575134,0.7282237426958111,0.2992177
2-2-10-5-1,841682.6,8943.395968437195,0.010514972086773919,0.7356593864494253,0.2829284
2-2-8-1-1,621794.0,6661.863628387451,0.01388825940732748,0.8042113663838876,0.2925574
2-2-8-2-1,623677.9,7207.4793370008465,0.012213016746548361,0.7707799019376956,0.33410153
2-2-8-3-1,598175.3,6945.7128164052965,0.012551601168578081,0.7764428206257727,0.30995053
2-2-8-4-1,504418.0,7167.604227447509,0.010675898783036021,0.7396921366064853,0.32773167
2-2-8-5-1,751534.9,8176.032061648369,0.01121361595969544,0.7199106047882827,0.34936395
2-2-9-1-1,712857.2,7437.1810279846195,0.01292929239895338,0.8256512841271471,0.15062034
2-2-9-2-1,652294.5,7757.5499871015545,0.01080489885296294,0.7318877241085009,0.18379304
2-2-9-3-1,633532.9,7695.593045306206,0.01072625402920766,0.737505579902894,0.16678554
2-2-9-4-1,617225.2,7691.224921369552,0.01053618062885188,0.7646504086444107,0.19784291
2-2-9-5-1,515169.1,7516.804469752312,0.00991855568495832,0.7213637986454959,0.39161006
3-2-8-1-1,557259.8,6580.47237200737,0.012830116993831922,0.7862302799342068,0.3242042
3-2-8-2-1,640001.6,7142.495571470261,0.012670494470173582,0.783873374103138,0.3020433
3-2-8-3-1,565664.3,7248.812553477287,0.01105766814738276,0.7480418535851536,0.36622053
3-2-8-4-1,524748.8,6883.572109079361,0.0113361839726366,0.7578293128935876,0.4642106
3-2-8-5-1,768941.8,9348.073341226578,0.00951153874827656,0.6832017328723563,0.38160095
3-2-9-1-1,801199.8,8195.905150270462,0.01231884136840838,0.733887633503763,0.19584477
3-2-9-2-1,638244.2,7287.972944259644,0.01212227444987936,0.7750937941010871,0.19089863
3-2-9-3-1,692809.5,7823.988168263435,0.01151016884129686,0.7123952546611628,0.23544559
