leaf_id,category,is_healthy,area,perimeter,hull_area,convexity,compactness,major_axis,minor_axis,aspect_ratio
3-1-13 - Scan 3,healthy,1,1392912.0,12027.813940286636,1753081.5,0.794550624143829,0.00962831471179001,2151.596,408.7821,5.26343
3-2 _ Leaf 8,healthy,1,928472.0,9256.92246222496,1203685.5,0.7713576345316114,0.01083516574784741,2225.429,259.57025,8.573513
3-2 _ Leaf 9,healthy,1,1239445.0,11701.655771493912,1795882.0,0.69015948709325,0.009051751512836458,2584.5518,337.1594,7.6656675
3-3 _ Leaf 8,healthy,1,696048.0,7709.746713399887,912275.5,0.7629800427612053,0.011710055917620331,1903.7073,232.753,8.179088
3-3 _ Leaf 9,healthy,1,1010329.5,9186.797571778297,1241556.0,0.8137607163913669,0.011971118780424544,2268.5842,274.48984,8.2647295
4-1 _ Leaf 10,healthy,1,1565118.5,10388.836237549782,1905438.5,0.8213954425713557,0.014501516601342565,2483.9949,391.43256,6.3459077
4-1 _ Leaf 8,healthy,1,699201.0,8635.206732988358,995244.0,0.7025422911366459,0.009376841219819602,1931.4836,233.75423,8.262882
4-1 _ Leaf 9,healthy,1,1169217.0,10426.833273172379,1588396.5,0.7360989526229754,0.010754500965980338,2466.104,322.14636,7.6552286
4-2 _ Leaf 10,healthy,1,1009976.5,8496.287905335426,1246495.5,0.8102528248196644,0.013991131156589006,2013.2959,318.4838,6.3215017
4-2 _ Leaf 8,healthy,1,581521.5,6789.39642727375,836060.0,0.6955499605291486,0.012615470171367821,1053.1512,394.51025,2.6695156
4-2 _ Leaf 9,healthy,1,814811.0,9030.240346431732,989957.5,0.8230767482442428,0.009992134339936749,2044.0492,246.28664,8.299473
4-2-11 - Scan 3,healthy,1,1669841.0,11013.078878164291,1927658.0,0.8662537649313312,0.013767580378658585,2681.7976,382.43338,7.012457
4-2-11- indoor - Scan 2,healthy,1,1863314.0,30145.64040827751,2672184.0,0.6973000362250503,0.0020503925647161344,2803.7788,401.71887,6.979455
4-2-12 - Scan 1,healthy,1,1488746.5,14388.04054749012,2117473.0,0.7030769695764716,0.007191466262507383,2708.7178,385.59918,7.024698
4-2-12 - Scan 3,healthy,1,1439960.5,10639.272748351097,1639364.5,0.8783650615833147,0.012721159379188907,2618.9482,342.85406,7.6386676
4-2-12- indoor - Scan 1,healthy,1,1881840.0,29328.208949804306,2610393.0,0.7209029444991616,0.0021878201203592157,2820.5903,410.33334,6.8739
4-2-13 - Scan 1,healthy,1,1095750.0,10270.372377157211,1392168.5,0.787081448833241,0.010388171210943332,2233.667,324.01813,6.893648
4-2-13-indoor - Scan 1,healthy,1,1701864.5,25838.737614035606,2372213.5,0.7174162443641772,0.0025490737201830974,2480.8257,409.35,6.0604024
